borrowerage,maritalstatus,householdsize,dependents,region,level,borrowercreditscore,employmentstatus,inflationrate,repaymentplan,collectionefforts,loanamount,remainingamount,interestratechange,lossdefault
19,Single,2,2,South,Diploma,625,Employed,14.77,Salary,No Collectioneffort,1760000,1145768.61,1.38,Default
29,Married,1,0,North,Degree,680,Self-employed,18.57,Voluntary,Notices,1760000,910495.29,0.72,Default
25,Married,3,0,South,Degree,651,Employed,7.73,Voluntary,Notices,4000000,717794.99,0.33,No Default
23,Married,2,2,Central,Degree,662,Self-employed,3.75,Salary,Calls,1760000,909972.76,1.41,No Default
31,Single,3,1,North,Degree,673,Self-employed,7.98,Salary,No Collectioneffort,1760000,251225.08,1.67,No Default
39,Married,1,2,Central,Degree,694,Self-employed,10.36,Salary,No Collectioneffort,1760000,1183704.85,1.59,No Default
27,Married,3,0,North,Degree,684,Unemployed,7.4,Voluntary,No Collectioneffort,4000000,1717360.63,0.48,Default
36,Single,3,2,Central,Degree,648,Employed,13.16,Voluntary,No Collectioneffort,1760000,1457960.99,1.62,Default
18,Married,3,0,Central,Degree,650,Employed,14.81,Salary,Notices,4000000,2708533.26,1.02,Default
31,Married,2,0,South,Diploma,594,Employed,7.79,Salary,Calls,1760000,642220.82,1.22,No Default
30,Single,2,1,North,Diploma,641,Employed,13.14,Salary,Calls,4000000,429177.17,1.42,No Default
36,Single,4,3,South,Diploma,655,Employed,12.06,Voluntary,Reminders,1760000,1301281.06,0.12,Default
38,Married,3,0,Central,Degree,695,Employed,18.05,Salary,No Collectioneffort,2000000,1796846.13,0.16,Default
27,Married,3,0,North,Diploma,531,Employed,7.8,Voluntary,No Collectioneffort,1760000,752645.95,1.67,Default
19,Married,3,0,North,Degree,665,Employed,10.67,Salary,Reminders,4000000,2839521.06,0.36,Default
33,Single,1,1,South,Degree,611,Employed,3.28,Salary,No Collectioneffort,4000000,432455.4,0.45,No Default
28,Single,4,0,North,Degree,688,Employed,3.36,Voluntary,Calls,2000000,1551472.64,0.52,No Default
40,Divorced,4,0,North,Degree,716,Self-employed,17.58,Salary,Notices,4000000,2091948.88,0.97,Default
37,Divorced,3,6,Central,Degree,647,Unemployed,10.87,Salary,Notices,2000000,1710162.5,1.32,Default
31,Single,5,0,North,Degree,721,Self-employed,15.83,Salary,Calls,2000000,1906447.81,1.58,Default
32,Married,2,1,South,Degree,693,Employed,9.19,Voluntary,No Collectioneffort,4000000,1033954.43,1.59,No Default
21,Single,3,6,North,Diploma,656,Employed,14.03,Salary,No Collectioneffort,1760000,1332583.67,1.63,Default
36,Single,5,0,Central,Degree,569,Employed,18.04,Salary,Calls,880000,511648.75,1.85,Default
22,Single,2,2,South,Diploma,669,Employed,12.33,Salary,No Collectioneffort,2000000,1950063.14,1.99,Default
35,Single,1,1,Central,Degree,608,Employed,18.03,Voluntary,Calls,4000000,550286.2,0.88,No Default
21,Married,3,4,Central,Degree,507,Employed,6.33,Salary,Notices,4000000,3789657.59,1.07,Default
19,Married,1,4,Central,Degree,595,Self-employed,18.29,Voluntary,Notices,880000,411911.51,1.09,Default
17,Divorced,4,1,North,Degree,717,Unemployed,13.84,Salary,Calls,2000000,489161.83,1.57,No Default
22,Married,1,0,South,Degree,656,Unemployed,16.28,Voluntary,Calls,2000000,1688914.78,0.24,Default
31,Married,3,1,South,Degree,711,Self-employed,11.88,Salary,No Collectioneffort,1760000,309631.6,0.2,No Default
18,Married,2,5,South,Degree,728,Employed,17.84,Voluntary,No Collectioneffort,4000000,3198111.77,0.83,Default
19,Divorced,2,0,North,Degree,663,Unemployed,15.01,Salary,No Collectioneffort,4000000,1670255.84,1.19,Default
33,Married,4,6,North,Degree,621,Employed,6.98,Voluntary,Notices,4000000,1189765.0,0.12,No Default
40,Married,3,3,North,Degree,597,Unemployed,4.82,Salary,No Collectioneffort,1760000,1669466.68,0.99,Default
28,Divorced,2,0,South,Diploma,646,Employed,10.8,Voluntary,No Collectioneffort,4000000,3676660.61,0.17,No Default
34,Single,2,3,South,Degree,605,Employed,12.14,Voluntary,No Collectioneffort,1760000,1355146.55,0.46,No Default
31,Married,3,0,Central,Degree,593,Self-employed,5.48,Voluntary,No Collectioneffort,1760000,1706273.54,0.61,Default
28,Married,4,1,Central,Diploma,617,Unemployed,11.12,Voluntary,Calls,2000000,1487028.81,1.07,Default
32,Divorced,3,1,North,Degree,636,Self-employed,15.69,Salary,No Collectioneffort,880000,371229.84,0.31,Default
24,Single,3,1,North,Diploma,637,Employed,16.24,Salary,No Collectioneffort,880000,110612.02,0.73,No Default
30,Married,2,1,Central,Degree,645,Employed,11.18,Salary,Notices,4000000,511403.52,0.17,No Default
33,Married,4,1,Central,Degree,671,Employed,3.48,Salary,Notices,1760000,1156106.61,0.74,No Default
37,Single,3,2,North,Diploma,640,Self-employed,15.63,Salary,No Collectioneffort,1760000,1170656.26,0.15,Default
24,Married,3,2,North,Degree,687,Employed,12.53,Voluntary,No Collectioneffort,4000000,1475706.23,0.68,No Default
31,Single,3,5,Central,Degree,685,Employed,15.38,Salary,Reminders,1760000,1662612.55,1.66,Default
30,Single,3,3,North,Degree,699,Self-employed,19.39,Salary,Notices,1760000,986207.63,1.2,Default
34,Married,4,2,North,Degree,644,Employed,17.09,Salary,No Collectioneffort,4000000,2280792.33,0.55,Default
36,Married,3,1,North,Degree,588,Self-employed,3.19,Salary,Calls,4000000,2105845.35,1.13,Default
23,Married,4,0,North,Degree,637,Employed,14.33,Voluntary,Notices,4000000,2862276.92,0.58,Default
19,Married,3,0,Central,Degree,601,Employed,19.97,Salary,No Collectioneffort,4000000,2879899.19,0.99,Default
28,Single,3,1,South,Diploma,689,Employed,17.1,Salary,Notices,1760000,1654312.44,1.23,Default
37,Single,4,2,North,Degree,576,Self-employed,18.95,Voluntary,No Collectioneffort,4000000,3570523.98,0.99,Default
40,Single,2,2,Central,Degree,667,Self-employed,8.23,Voluntary,Notices,2000000,798713.22,0.7,No Default
19,Single,2,5,South,Degree,660,Self-employed,7.99,Salary,No Collectioneffort,1760000,807016.25,0.46,Default
36,Married,3,1,South,Degree,686,Employed,18.23,Voluntary,Notices,1760000,611416.58,1.79,No Default
30,Married,5,2,Central,Degree,663,Self-employed,14.71,Salary,Notices,1760000,296949.44,0.85,No Default
31,Single,1,4,South,Diploma,647,Employed,14.72,Voluntary,No Collectioneffort,880000,836447.45,0.71,Default
30,Single,2,1,Central,Diploma,595,Employed,17.77,Salary,Calls,880000,663274.72,1.11,Default
23,Married,2,1,Central,Degree,735,Employed,7.24,Voluntary,Calls,4000000,1076286.01,1.55,No Default
33,Single,2,4,South,Degree,647,Unemployed,14.51,Salary,No Collectioneffort,2000000,358025.22,0.91,No Default
28,Divorced,2,2,North,Degree,632,Self-employed,12.11,Salary,Notices,4000000,2858832.35,1.14,No Default
36,Married,3,3,Central,Diploma,655,Unemployed,17.3,Voluntary,Calls,4000000,1425860.26,0.39,Default
20,Single,4,5,South,Degree,706,Self-employed,18.84,Voluntary,Calls,1760000,1255751.84,2.0,Default
25,Single,3,2,South,Degree,637,Unemployed,13.21,Salary,No Collectioneffort,1760000,849028.05,0.89,Default
22,Married,2,0,North,Degree,707,Employed,12.91,Salary,Calls,4000000,3002064.91,0.56,Default
32,Single,4,3,South,Diploma,660,Employed,19.83,Voluntary,No Collectioneffort,4000000,1443688.63,0.63,Default
38,Single,3,3,South,Degree,686,Self-employed,6.66,Voluntary,No Collectioneffort,1760000,622871.16,1.38,No Default
38,Single,2,0,North,Diploma,662,Employed,12.6,Salary,No Collectioneffort,4000000,2649515.61,1.19,No Default
37,Married,2,1,North,Degree,683,Employed,10.57,Voluntary,Calls,1760000,807091.57,1.71,No Default
37,Married,4,1,Central,Degree,693,Unemployed,5.14,Salary,No Collectioneffort,4000000,2807686.68,0.78,Default
18,Single,3,3,South,Diploma,671,Self-employed,6.33,Voluntary,No Collectioneffort,4000000,3076742.32,0.1,Default
40,Married,3,0,South,Degree,729,Self-employed,4.32,Salary,Notices,1760000,206951.9,1.45,No Default
24,Married,1,1,North,Degree,644,Employed,17.73,Salary,No Collectioneffort,4000000,868735.23,1.72,No Default
27,Married,4,2,North,Degree,709,Unemployed,7.08,Voluntary,Reminders,1760000,1121606.33,0.86,Default
29,Single,2,1,South,Degree,618,Self-employed,19.47,Salary,No Collectioneffort,880000,778840.55,1.85,Default
33,Married,4,5,North,Degree,670,Employed,7.47,Voluntary,Calls,880000,256551.35,0.16,No Default
24,Divorced,3,5,Central,Diploma,608,Employed,4.31,Voluntary,Notices,4000000,3785020.17,1.51,Default
37,Single,2,0,South,Degree,609,Employed,13.37,Salary,Calls,1760000,413496.91,0.78,No Default
34,Single,2,0,North,Diploma,715,Unemployed,12.93,Salary,Reminders,1760000,1264332.41,0.75,Default
34,Single,1,0,North,Degree,754,Employed,13.14,Voluntary,No Collectioneffort,1760000,1122900.12,1.14,No Default
30,Single,2,1,Central,Degree,641,Employed,13.86,Salary,Calls,880000,645765.72,0.6,No Default
31,Single,2,2,South,Degree,599,Employed,8.78,Salary,No Collectioneffort,4000000,3080945.05,1.92,No Default
22,Married,3,1,South,Diploma,649,Unemployed,17.44,Salary,Calls,4000000,1549527.84,1.69,Default
27,Divorced,3,0,Central,Diploma,611,Self-employed,12.5,Voluntary,No Collectioneffort,880000,696614.46,1.44,Default
29,Single,3,0,Central,Degree,714,Self-employed,16.26,Voluntary,No Collectioneffort,4000000,1878241.47,0.73,Default
17,Married,3,0,North,Diploma,680,Self-employed,6.38,Voluntary,No Collectioneffort,1760000,382949.38,1.09,Default
22,Married,4,1,Central,Degree,679,Unemployed,18.26,Voluntary,No Collectioneffort,4000000,1383850.64,0.19,Default
25,Married,5,2,Central,Degree,644,Self-employed,7.3,Salary,Notices,2000000,363775.82,1.36,No Default
24,Married,2,1,North,Degree,614,Employed,3.57,Salary,Reminders,4000000,731977.49,1.01,No Default
27,Single,3,0,North,Diploma,702,Employed,13.48,Voluntary,No Collectioneffort,1760000,1645144.43,0.16,Default
38,Married,1,3,North,Diploma,644,Employed,18.82,Salary,No Collectioneffort,880000,552379.02,0.78,Default
35,Married,1,4,South,Diploma,598,Employed,17.44,Salary,No Collectioneffort,1760000,300282.98,0.92,Default
40,Married,3,0,North,Degree,727,Unemployed,19.16,Salary,Calls,4000000,1512241.19,1.13,Default
25,Married,3,1,North,Degree,773,Employed,13.28,Voluntary,No Collectioneffort,880000,181108.18,0.25,No Default
33,Single,4,0,North,Diploma,657,Unemployed,4.15,Salary,Calls,1760000,491823.34,0.87,No Default
28,Single,2,0,North,Degree,667,Employed,6.3,Salary,Reminders,4000000,910705.41,1.46,No Default
30,Divorced,1,3,North,Diploma,740,Employed,3.14,Voluntary,No Collectioneffort,1760000,1646527.15,0.1,No Default
31,Married,4,1,South,Diploma,635,Employed,6.68,Salary,No Collectioneffort,1760000,840481.83,1.45,No Default
32,Married,1,2,South,Degree,706,Employed,11.57,Voluntary,Notices,4000000,539182.89,1.88,No Default
38,Single,2,5,North,Diploma,621,Employed,16.64,Voluntary,No Collectioneffort,880000,580964.35,1.22,Default
38,Married,2,2,South,Degree,674,Self-employed,4.23,Salary,Notices,2000000,1055946.43,0.54,No Default
36,Married,6,1,North,Degree,601,Employed,5.45,Voluntary,No Collectioneffort,4000000,3770088.31,1.62,No Default
17,Married,2,1,South,Degree,637,Unemployed,9.52,Salary,Notices,880000,204850.65,1.72,No Default
26,Single,3,0,North,Degree,567,Employed,8.26,Voluntary,Calls,4000000,2494701.07,0.21,Default
24,Single,4,3,Central,Degree,674,Self-employed,5.23,Salary,No Collectioneffort,4000000,3218871.36,0.18,No Default
34,Married,3,0,South,Degree,669,Unemployed,17.91,Salary,No Collectioneffort,1760000,1493631.55,1.61,Default
17,Married,4,0,Central,Degree,598,Unemployed,18.8,Salary,Notices,880000,101251.89,0.85,Default
18,Divorced,3,0,Central,Degree,759,Self-employed,12.03,Voluntary,No Collectioneffort,1760000,1280800.68,0.99,Default
17,Divorced,6,0,North,Degree,653,Unemployed,8.62,Salary,No Collectioneffort,1760000,689503.12,0.23,No Default
17,Divorced,4,2,North,Degree,642,Employed,9.87,Voluntary,Notices,4000000,1362730.94,1.73,No Default
25,Single,2,4,Central,Diploma,601,Employed,14.64,Salary,Notices,2000000,1466251.19,1.82,Default
29,Single,2,6,South,Degree,689,Self-employed,9.4,Salary,No Collectioneffort,1760000,1543690.09,1.96,No Default
17,Single,5,2,South,Degree,605,Self-employed,9.63,Voluntary,No Collectioneffort,4000000,760527.69,0.56,No Default
29,Single,3,0,North,Degree,688,Employed,7.44,Salary,Notices,880000,336823.86,1.16,No Default
36,Married,3,0,North,Degree,606,Unemployed,16.62,Voluntary,Calls,4000000,3876891.62,0.01,Default
38,Married,4,0,Central,Diploma,671,Self-employed,12.92,Salary,Reminders,1760000,943506.34,1.8,Default
23,Single,3,0,South,Diploma,640,Unemployed,4.97,Salary,No Collectioneffort,1760000,989742.12,0.34,Default
18,Married,2,2,South,Degree,689,Self-employed,18.0,Voluntary,Notices,1760000,1618429.07,1.45,Default
22,Divorced,2,4,Central,Diploma,584,Unemployed,3.78,Salary,No Collectioneffort,2000000,577691.32,1.52,Default
23,Married,3,2,Central,Degree,672,Employed,6.1,Salary,Notices,4000000,2550586.97,1.57,No Default
30,Single,1,3,Central,Degree,600,Unemployed,9.1,Voluntary,Calls,2000000,1715413.54,1.05,Default
34,Married,2,1,Central,Degree,617,Self-employed,19.7,Voluntary,Calls,880000,799392.91,0.53,Default
31,Single,4,1,North,Degree,678,Self-employed,10.21,Voluntary,No Collectioneffort,1760000,769556.74,0.99,Default
18,Married,2,5,Central,Degree,652,Self-employed,10.13,Salary,No Collectioneffort,2000000,1276972.84,0.29,Default
26,Married,1,2,Central,Degree,668,Self-employed,18.29,Salary,No Collectioneffort,1760000,1533630.69,1.94,Default
39,Single,4,1,North,Degree,687,Self-employed,14.13,Salary,No Collectioneffort,1760000,938814.97,1.9,Default
28,Divorced,3,1,South,Degree,658,Self-employed,19.87,Voluntary,No Collectioneffort,1760000,1488376.81,0.53,Default
33,Married,2,0,North,Degree,643,Employed,12.69,Salary,Reminders,4000000,2672745.6,1.72,No Default
24,Married,4,3,North,Diploma,599,Employed,9.05,Salary,No Collectioneffort,1760000,661285.04,0.94,No Default
27,Divorced,3,0,South,Degree,759,Employed,16.73,Salary,No Collectioneffort,1760000,1740151.91,0.95,Default
19,Single,2,1,Central,Degree,677,Employed,9.71,Voluntary,Reminders,4000000,1855808.08,1.92,Default
22,Single,2,2,Central,Degree,650,Employed,18.91,Voluntary,Notices,2000000,1083034.79,1.71,Default
25,Married,2,2,North,Degree,633,Employed,19.54,Salary,Notices,4000000,1439522.72,0.11,No Default
22,Single,4,0,Central,Degree,660,Employed,14.67,Voluntary,Notices,4000000,440472.82,1.08,No Default
25,Married,3,0,South,Degree,649,Self-employed,6.3,Salary,Notices,880000,162533.06,0.4,No Default
23,Single,3,2,North,Diploma,676,Employed,8.61,Salary,Calls,4000000,2338381.34,1.01,No Default
25,Single,4,1,Central,Degree,621,Employed,4.65,Salary,No Collectioneffort,880000,699008.82,0.18,No Default
34,Married,1,0,Central,Degree,733,Employed,5.19,Voluntary,Notices,4000000,3787796.8,1.69,No Default
28,Single,1,6,Central,Degree,684,Unemployed,14.87,Voluntary,Notices,1760000,184731.98,0.31,No Default
24,Married,2,3,South,Degree,559,Employed,10.33,Salary,Notices,4000000,1243778.74,1.41,No Default
24,Married,1,2,North,Degree,664,Employed,14.74,Salary,No Collectioneffort,1760000,883315.71,0.9,No Default
34,Divorced,3,2,North,Degree,690,Unemployed,4.77,Salary,Notices,880000,420177.92,1.94,Default
36,Married,3,0,Central,Diploma,584,Self-employed,11.54,Voluntary,Notices,880000,158680.9,0.9,Default
31,Single,2,5,North,Diploma,705,Employed,18.03,Salary,Notices,880000,752271.08,1.45,Default
23,Married,1,6,South,Diploma,681,Employed,10.92,Salary,Notices,1760000,484071.76,1.15,No Default
27,Married,1,2,Central,Degree,584,Unemployed,11.05,Salary,Notices,2000000,421794.98,0.62,Default
36,Married,5,2,Central,Degree,641,Self-employed,15.24,Salary,No Collectioneffort,4000000,3293189.61,1.0,Default
32,Married,3,2,South,Degree,592,Self-employed,17.89,Voluntary,No Collectioneffort,2000000,817634.47,1.81,Default
20,Married,3,2,North,Degree,691,Unemployed,15.71,Voluntary,Notices,4000000,2942811.07,0.23,Default
22,Married,2,1,North,Degree,599,Employed,3.92,Voluntary,Reminders,4000000,3117107.52,0.3,Default
38,Married,2,1,North,Degree,603,Employed,12.62,Voluntary,No Collectioneffort,4000000,3361521.92,0.21,No Default
19,Single,1,0,Central,Diploma,654,Self-employed,12.28,Salary,Calls,4000000,893109.6,1.41,No Default
25,Single,6,1,North,Degree,753,Employed,9.99,Salary,Reminders,4000000,1816760.72,0.54,No Default
26,Married,4,1,Central,Degree,711,Self-employed,3.87,Voluntary,No Collectioneffort,1760000,879000.7,1.56,Default
30,Single,3,0,North,Degree,600,Employed,8.65,Voluntary,Calls,4000000,3994100.9,1.95,No Default
27,Single,3,3,North,Diploma,588,Self-employed,10.1,Voluntary,Notices,4000000,3298552.69,1.43,Default
34,Single,3,1,North,Diploma,620,Employed,15.4,Voluntary,Calls,1760000,707531.14,1.1,Default
38,Married,2,2,North,Diploma,579,Self-employed,12.37,Voluntary,Calls,1760000,1007345.35,1.83,Default
28,Single,2,0,Central,Diploma,689,Employed,17.73,Voluntary,No Collectioneffort,1760000,1356855.12,1.43,Default
39,Married,3,1,South,Diploma,682,Employed,10.16,Salary,Calls,880000,384523.83,0.56,Default
28,Single,1,3,North,Degree,695,Employed,7.37,Salary,Notices,880000,828551.64,1.34,No Default
29,Married,1,1,North,Diploma,652,Employed,8.82,Voluntary,Calls,1760000,1423107.03,1.24,No Default
29,Married,3,2,Central,Diploma,656,Self-employed,17.56,Salary,Notices,4000000,1924934.21,1.2,Default
35,Married,5,2,South,Diploma,596,Employed,5.23,Salary,Notices,4000000,1273089.54,1.21,No Default
35,Single,5,1,North,Degree,663,Self-employed,13.27,Salary,No Collectioneffort,1760000,1043130.07,0.79,Default
39,Divorced,1,1,North,Degree,713,Self-employed,19.22,Voluntary,No Collectioneffort,4000000,3333564.92,0.0,Default
30,Divorced,1,0,South,Degree,628,Self-employed,3.47,Salary,Calls,2000000,1813370.3,1.71,No Default
20,Married,3,2,North,Degree,670,Self-employed,12.36,Salary,Notices,4000000,2505762.17,1.98,Default
29,Divorced,4,2,North,Diploma,653,Self-employed,13.73,Voluntary,Calls,4000000,1707745.9,1.5,Default
24,Married,5,2,North,Degree,623,Employed,6.17,Salary,No Collectioneffort,4000000,2065906.25,0.49,No Default
39,Married,4,0,Central,Degree,675,Self-employed,11.78,Salary,No Collectioneffort,1760000,1451843.51,1.81,Default
37,Married,3,0,Central,Degree,740,Employed,4.11,Salary,Notices,1760000,325013.29,0.99,No Default
39,Married,2,0,North,Degree,718,Self-employed,6.32,Salary,Calls,880000,168733.97,0.64,No Default
35,Married,1,0,South,Diploma,607,Self-employed,12.75,Salary,Notices,1760000,1138121.17,0.53,Default
28,Married,1,1,North,Degree,655,Self-employed,14.43,Voluntary,No Collectioneffort,880000,320060.19,0.53,No Default
34,Divorced,3,0,North,Diploma,686,Employed,17.92,Salary,No Collectioneffort,4000000,3222472.67,1.66,Default
22,Single,1,2,South,Diploma,654,Employed,12.98,Salary,Calls,2000000,1267992.13,1.35,Default
34,Married,3,5,Central,Degree,585,Self-employed,13.37,Salary,No Collectioneffort,4000000,1112716.26,1.14,Default
35,Married,3,0,South,Degree,612,Employed,10.39,Voluntary,No Collectioneffort,1760000,371308.54,0.43,No Default
38,Married,1,4,Central,Diploma,681,Unemployed,12.23,Voluntary,Notices,4000000,3796968.37,1.83,Default
21,Single,5,2,Central,Diploma,746,Self-employed,13.27,Salary,Notices,4000000,1841566.39,0.59,Default
40,Married,3,4,North,Diploma,617,Self-employed,10.3,Voluntary,Calls,4000000,2649337.71,0.4,Default
25,Divorced,5,0,South,Diploma,602,Employed,7.85,Voluntary,No Collectioneffort,1760000,921910.81,1.31,Default
19,Single,5,4,North,Degree,706,Employed,17.98,Salary,Calls,4000000,2596788.11,1.87,Default
26,Married,2,5,Central,Degree,661,Unemployed,11.04,Salary,No Collectioneffort,4000000,2571448.64,1.83,Default
35,Single,2,4,North,Diploma,630,Self-employed,12.06,Salary,No Collectioneffort,4000000,1554957.95,0.73,No Default
19,Divorced,1,3,North,Degree,640,Unemployed,7.61,Salary,Calls,4000000,1330082.53,0.75,No Default
38,Married,4,0,South,Degree,642,Employed,4.53,Salary,Notices,2000000,1678055.66,1.91,No Default
31,Single,3,0,South,Degree,687,Employed,19.8,Salary,No Collectioneffort,880000,754501.54,0.15,Default
17,Single,5,4,South,Diploma,661,Employed,3.1,Salary,No Collectioneffort,1760000,423182.02,1.69,No Default
23,Married,2,0,North,Diploma,573,Employed,18.88,Salary,Calls,4000000,2916598.75,0.76,Default
28,Single,3,1,North,Diploma,643,Self-employed,8.14,Salary,Calls,2000000,885647.33,0.39,No Default
33,Married,6,0,Central,Degree,741,Unemployed,14.83,Salary,Calls,4000000,1244225.92,1.79,No Default
37,Divorced,3,2,South,Degree,705,Employed,17.73,Voluntary,Reminders,880000,261821.21,1.36,Default
40,Married,1,2,South,Degree,712,Unemployed,10.97,Salary,No Collectioneffort,4000000,1273112.97,0.27,No Default
36,Single,3,5,Central,Degree,608,Employed,11.68,Voluntary,Reminders,1760000,1182325.01,0.59,Default
21,Divorced,2,4,North,Diploma,668,Unemployed,19.75,Salary,No Collectioneffort,1760000,254494.83,0.61,Default
20,Married,1,1,South,Diploma,697,Unemployed,18.21,Voluntary,No Collectioneffort,1760000,810643.18,0.19,Default
28,Single,2,2,North,Degree,653,Employed,18.51,Voluntary,No Collectioneffort,2000000,1149630.22,0.44,Default
36,Single,2,1,North,Degree,709,Unemployed,17.5,Voluntary,No Collectioneffort,1760000,1007988.52,1.78,Default
40,Single,4,0,South,Degree,607,Employed,18.72,Voluntary,No Collectioneffort,1760000,1635579.59,1.2,Default
34,Married,2,4,North,Diploma,660,Employed,13.38,Voluntary,No Collectioneffort,2000000,1900033.34,1.57,Default
33,Single,3,1,Central,Degree,620,Employed,4.22,Voluntary,Calls,1760000,1650767.04,1.99,No Default
35,Single,1,1,South,Degree,723,Employed,13.66,Voluntary,No Collectioneffort,2000000,1487306.75,1.39,No Default
25,Married,1,0,North,Degree,647,Self-employed,13.83,Salary,Reminders,4000000,1208387.04,0.93,No Default
20,Married,1,2,Central,Diploma,639,Unemployed,16.02,Salary,No Collectioneffort,1760000,1419231.57,1.39,Default
37,Married,2,1,South,Degree,593,Employed,6.92,Salary,Notices,1760000,358594.9,1.89,No Default
18,Married,2,0,South,Degree,691,Unemployed,5.08,Salary,No Collectioneffort,4000000,3525167.45,1.44,Default
20,Single,3,4,South,Degree,672,Self-employed,6.26,Voluntary,Calls,2000000,1542333.41,0.33,Default
18,Married,6,0,North,Degree,649,Employed,13.7,Voluntary,No Collectioneffort,1760000,889192.12,0.29,Default
31,Single,2,1,North,Degree,680,Employed,7.27,Voluntary,Reminders,4000000,2384219.22,0.79,No Default
18,Married,1,3,North,Degree,703,Employed,17.08,Salary,Notices,1760000,455985.5,0.26,No Default
20,Married,2,3,North,Degree,660,Self-employed,8.83,Salary,No Collectioneffort,1760000,643498.8,0.22,No Default
22,Single,4,3,North,Degree,672,Unemployed,10.46,Salary,No Collectioneffort,1760000,1502695.89,0.34,Default
23,Divorced,3,4,South,Diploma,677,Employed,4.79,Salary,No Collectioneffort,4000000,2428228.58,1.49,Default
26,Married,4,0,North,Degree,561,Self-employed,10.78,Salary,Calls,4000000,2001640.13,0.1,Default
35,Single,1,5,North,Degree,673,Employed,10.86,Salary,No Collectioneffort,880000,113661.65,0.58,No Default
35,Divorced,1,0,Central,Diploma,568,Self-employed,3.3,Salary,Calls,2000000,1856737.16,0.96,Default
38,Married,1,0,North,Degree,650,Self-employed,15.34,Voluntary,Notices,4000000,1822107.4,1.54,Default
28,Married,4,0,North,Diploma,678,Unemployed,3.86,Salary,No Collectioneffort,4000000,3508125.14,1.5,Default
19,Married,2,5,South,Degree,558,Employed,9.91,Salary,Reminders,4000000,920796.73,0.2,No Default
29,Married,3,1,Central,Diploma,652,Employed,10.46,Salary,No Collectioneffort,880000,449233.62,1.25,Default
34,Single,3,1,North,Degree,632,Unemployed,9.23,Voluntary,No Collectioneffort,1760000,1427486.44,0.5,Default
24,Single,3,0,Central,Degree,637,Employed,9.75,Salary,No Collectioneffort,2000000,949059.46,0.2,No Default
37,Married,2,0,South,Degree,688,Self-employed,18.1,Salary,Calls,880000,616456.61,1.53,Default
31,Single,3,2,North,Diploma,745,Self-employed,16.69,Voluntary,Calls,2000000,1540786.29,0.85,Default
17,Married,1,0,North,Degree,686,Unemployed,15.71,Salary,Notices,4000000,3965651.11,0.77,Default
19,Single,6,2,South,Degree,651,Self-employed,13.14,Voluntary,Calls,880000,345944.34,1.38,Default
24,Single,1,3,Central,Degree,582,Self-employed,19.54,Salary,No Collectioneffort,2000000,1304347.0,0.42,Default
20,Single,1,2,North,Degree,718,Unemployed,10.26,Voluntary,Calls,4000000,880377.85,1.94,Default
32,Married,2,3,North,Degree,641,Unemployed,5.85,Salary,No Collectioneffort,4000000,476574.99,1.06,No Default
39,Married,4,0,North,Degree,565,Unemployed,16.9,Salary,No Collectioneffort,4000000,2390313.78,0.84,Default
26,Single,2,0,Central,Diploma,592,Unemployed,11.3,Voluntary,No Collectioneffort,1760000,1092070.33,1.4,Default
28,Married,3,2,South,Degree,586,Self-employed,15.86,Voluntary,No Collectioneffort,880000,343927.29,1.29,Default
30,Single,1,3,North,Degree,594,Employed,5.85,Voluntary,Reminders,4000000,2354581.82,0.63,Default
30,Married,1,1,North,Degree,700,Employed,19.91,Salary,No Collectioneffort,2000000,1770091.86,1.93,Default
18,Single,3,3,North,Degree,659,Employed,13.62,Voluntary,No Collectioneffort,2000000,1581146.75,0.03,Default
39,Married,2,1,North,Diploma,677,Self-employed,7.57,Salary,No Collectioneffort,1760000,1375353.39,1.52,No Default
21,Married,3,0,Central,Diploma,509,Employed,17.83,Salary,Notices,1760000,355005.02,1.04,Default
21,Divorced,4,1,Central,Degree,688,Employed,10.14,Voluntary,No Collectioneffort,1760000,1177870.56,1.16,Default
22,Single,4,0,North,Degree,681,Unemployed,5.93,Voluntary,No Collectioneffort,2000000,309355.67,0.07,Default
29,Married,1,1,North,Diploma,560,Employed,12.9,Salary,No Collectioneffort,1760000,1347614.2,1.06,Default
25,Married,3,0,North,Degree,587,Self-employed,19.48,Salary,Calls,4000000,615052.1,1.24,Default
38,Divorced,5,0,North,Degree,706,Unemployed,14.58,Salary,Calls,880000,589154.9,1.92,Default
31,Single,4,4,Central,Degree,620,Employed,15.4,Salary,No Collectioneffort,1760000,769719.78,1.75,Default
30,Single,1,0,Central,Degree,700,Employed,19.1,Salary,No Collectioneffort,2000000,1232287.72,1.02,Default
40,Married,3,0,South,Diploma,650,Unemployed,3.59,Salary,No Collectioneffort,4000000,3506155.9,1.53,Default
23,Single,5,6,Central,Degree,624,Employed,18.8,Salary,Notices,1760000,447941.46,1.76,No Default
36,Single,2,2,Central,Diploma,643,Self-employed,17.86,Salary,Notices,4000000,2179317.2,0.2,Default
18,Single,4,2,North,Diploma,550,Unemployed,4.72,Salary,No Collectioneffort,1760000,1292033.73,0.16,Default
23,Married,3,3,Central,Diploma,669,Unemployed,19.49,Voluntary,No Collectioneffort,880000,109422.47,1.78,Default
22,Single,1,1,South,Degree,590,Self-employed,3.08,Salary,Reminders,4000000,3454159.92,1.17,Default
33,Married,1,0,South,Degree,558,Unemployed,13.48,Salary,No Collectioneffort,2000000,1642434.32,1.78,Default
